x,multi-finetuned,multi-frozen,baseline,linear,reg-finetuned
0.5760000000000001,3.934664402836923e-70,6.742289398691766e-11,1.207457155249911e-18,7.024344919004774e-19,7.853723127068547e-61
0.578,4.1028284852976435e-69,1.204294433627693e-10,2.655660215520302e-18,1.590095466303348e-18,5.958305160993029e-60
0.58,4.203288066205957e-68,2.1328388402016626e-10,5.792958533630378e-18,3.568025070398034e-18,4.452087803178187e-59
0.582,4.230825119854607e-67,3.745274440272958e-10,1.2533028485817532e-17,7.936333754372711e-18,3.2764121353422526e-58
0.584,4.18399465000124e-66,6.520932284751711e-10,2.689304057109264e-17,1.7498437817234098e-17,2.3748006599697385e-57
0.586,4.065250329031397e-65,1.1257355761796943e-09,5.723381011588486e-17,3.824423374684638e-17,1.695311975399282e-56
0.588,3.880731479732044e-64,1.926921387603087e-09,1.2080777835836738e-16,8.285524020818082e-17,1.1919716770812255e-55
0.59,3.639737140196846e-63,3.2703391182805197e-09,2.529107343955498e-16,1.7793497859277522e-16,8.254220826493243e-55
0.592,3.3539499217220864e-62,5.5032986958647055e-09,5.251343303550238e-16,3.7878259466275623e-16,5.629632894333934e-54
0.594,3.036499781129418e-61,9.182379640788075e-09,1.0814464562398924e-15,7.992930474498502e-16,3.781620263497734e-53
0.596,2.7009718711020926e-60,1.5191115799826154e-08,2.20887833908839e-15,1.6718965234608297e-15,2.5018980558865946e-52
0.598,2.3604619019691904e-59,2.491878341117244e-08,4.474777628845824e-15,3.466570966288586e-15,1.6302535671669625e-51
0.6,2.0267680808406346e-58,4.0529126982500084e-08,8.990932848462749e-15,7.124889613592151e-15,1.0462478268226138e-50
0.602,1.709783980193685e-57,6.53599190227513e-08,1.7917295419576485e-14,1.451588545991204e-14,6.613141920736506e-50
0.604,1.417126300003605e-56,1.0451058366833115e-07,3.541403028434199e-14,2.931543053589449e-14,4.116944243561368e-49
0.606,1.1540005060258346e-55,1.6569687152092464e-07,6.942474194656119e-14,5.868625238621762e-14,2.5242711295879446e-48
0.608,9.232802960568154e-55,2.6048005124951054e-07,1.349864139236277e-13,1.1645652818930552e-13,1.524371750946429e-47
0.61,7.257570480821464e-54,4.0601466760473267e-07,2.6031763171484414e-13,2.290755131172943e-13,9.066499981775784e-47
0.612,5.605044742961427e-53,6.275049708975917e-07,4.97915617165168e-13,4.466639188669127e-13,5.3110736485968675e-46
0.614,4.253016153354393e-52,9.616168285042289e-07,9.445989952062879e-13,8.633173294667154e-13,3.064212452141964e-45
