x,multi-finetuned,multi-frozen,baseline,linear
0.298,0.06066466357490384,0.013678802934231762,0.053789515409514536,0.002124898815173999
0.3,0.061523179357496245,0.015031461414696544,0.05597836867265022,0.002397765720806346
0.302,0.06237975960422302,0.016490381827117248,0.058203101460237695,0.002700381104170061
0.304,0.06323577216313965,0.018060911827989194,0.0604667999271959,0.0030352629755314754
0.306,0.06409262047107013,0.019748373321658005,0.06277334563845759,0.0034050529984802824
0.308,0.06495173312805606,0.021558031699060023,0.06512742805396195,0.003812512487637062
0.31,0.0658145535998343,0.023495063848439385,0.06753454371097134,0.004260517183379416
0.312,0.06668253015953461,0.025564525253799403,0.07000098129987763,0.0047520507957302715
0.314,0.0675571061751653,0.027771316537770842,0.07253379206277832,0.0052901973346064605
0.316,0.06843971084352436,0.030120149844254946,0.07514074520256234,0.005878132271831026
0.318,0.06933175046405596,0.03261551549168382,0.07783026826966295,0.0065191126114725224
0.32,0.07023460033798835,0.035261649359082756,0.08061137278892354,0.007216465978895888
0.322,0.07114959736899311,0.038062501493339576,0.08349356569446982,0.007973578874991333
0.324,0.07207803343174633,0.04102170644623798,0.08648674744986451,0.008793884279881158
0.326,0.07302114956432637,0.04414255586295469,0.08960109803753659,0.00968084882936462
0.328,0.0739801310295175,0.04742797384899664,0.0928469522986945,0.010637959826710652
0.33,0.07495610327898887,0.05088049563915501,0.09623466638571655,0.011668712391300498
0.332,0.07595012884315509,0.05450225007930129,0.09977447734654053,0.01277659708309982
0.334,0.0769632051584796,0.05829494640916208,0.10347635808823717,0.01396508837695582
0.336,0.07799626333321913,0.06225986580118283,0.10734987015858748,0.015237634392131072
0.338,0.07905016784228493,0.066397858066959,0.11140401693446868,0.01659764830910516
0.34,0.08012571713216411,0.0707093438884308,0.11564709990932746,0.01804850192624419
0.342,0.08122364510782973,0.07519432286623111,0.1200865808249498,0.019593521822190003
0.34400000000000003,0.08234462346538299,0.07985238760262792,0.12472895239212119,0.021235988594485132
0.34600000000000003,0.08348926482691671,0.08468274395197913,0.12957962028864167,0.0229791396397982
0.34800000000000003,0.08465812662782803,0.08968423747836747,0.13464279901078433,0.02482617592498316
0.35000000000000003,0.08585171570160169,0.09485538605913842,0.13992142398606558,0.026780273170040933
0.352,0.08707049350295498,0.10019441846573486,0.14541708213286683,0.028844597822945142
0.354,0.0883148819071897,0.1056993186409931,0.15112996277889076,0.031022328151509803
0.356,0.08958526952162105,0.11136787527665613,0.15705883052980804,0.033316680708522804
0.358,0.09088201844400542,0.11719773617816805,0.16320102131699887,0.03573094234299357
0.36,0.09220547140291538,0.12318646678786113,0.1695524624553269,0.038268507832626496
0.362,0.09355595921592987,0.12933161212464303,0.17610771711561898,0.04093292310092681
0.364,0.09493380850323092,0.13563076129045326,0.18286005316999498,0.04372793385741221
0.366,0.0963393495966152,0.14208161359343685,0.18980153590998186,0.046657539362394675
0.368,0.09777292458691815,0.14868204524724624,0.19692314367655017,0.049726050870242185
0.37,0.09923489545629015,0.15543017552743552,0.2042149049870746,0.05293815414888193
0.372,0.10072565224551491,0.16232443120170503,0.21166605530611468,0.056298975310944674
0.374,0.10224562121048983,0.16936360800284095,0.21926521119392617,0.05981414902613171
0.376,0.10379527292596438,0.1765469278834064,0.22700055918757153,0.06348988801826506
0.378,0.10537513029851439,0.18387409078120662,0.23486005643251653,0.06733305258757674
0.38,0.1069857764544038,0.1913453196355786,0.24283163979515326,0.07135121874288791
0.382,0.10862786247133178,0.19896139742766392,0.2509034399551706,0.0755527433835085
0.384,0.11030211492597906,0.2067236950736564,0.2590639968065453,0.07994682484117435
0.386,0.11200934323167057,0.21463418907882126,0.26730247239121374,0.0845435569824751
0.388,0.1137504467422882,0.2226954679617208,0.27560885755311315,0.08935397498636789
0.39,0.11552642159974948,0.23091072658193917,0.2839741685335888,0.0943900908537727
0.392,0.11733836730288143,0.2392837476496806,0.2923906298322527,0.09966491668095524
0.394,0.11918749297535725,0.24781886986042584,0.300851839828723,0.10519247373918714
0.396,0.12107512330953292,0.256520942280527,0.30935291589753483,0.110987785453327
0.398,0.12300270416155819,0.26539526480784226,0.31789061604666236,0.11706685246425631
0.4,0.12497180777108764,0.27444751474264195,0.3264634344641872,0.12344660809664698
0.402,0.1269841375763622,0.28368365972498993,0.33507166876113087,0.13014485273562557
0.404,0.1290415325924483,0.29310985752232904,0.34371745714391205,0.13718016584400822
0.406,0.1311459713171286,0.30273234338147453,0.3524047842289785,0.14457179462537564
0.40800000000000003,0.13329957512544033,0.3125573058889369,0.3611394547160876,0.15233951865576625
0.41000000000000003,0.13550461111029588,0.3225907525085215,0.3699290346561354,0.16050349016556634
0.41200000000000003,0.13776349432312476,0.3328383661816119,0.3787827605749744,0.16908405004946395
0.41400000000000003,0.14007878936519302,0.343305354579473,0.38771141723677505,0.17810152011120708
0.41600000000000004,0.14245321127733168,0.3539962937845083,0.39672718534005336,0.18757597250536176
0.418,0.1448896256733724,0.364914968345009,0.40584346092755813,0.197526977813228
