age,tenth,ninetyeth,baseline
68.5,0.9872539212376688,0.9915103134993312,0.9895016757620388
68.6,0.9871278603688024,0.991426166138874,0.9893977260258741
68.7,0.9869382188471436,0.9912995710308317,0.9892413432784455
68.8,0.9866848739663017,0.9911304380460042,0.9890324209679134
68.9,0.9864309642643486,0.9909609133733448,0.9888230233322562
69.0,0.9863038002980632,0.9908760059198976,0.9887181484673602
69.1,0.9863038002980632,0.9908760059198976,0.9887181484673602
69.2,0.9857937085018476,0.990535380427279,0.9882974406672453
69.3,0.9855377697559123,0.9903644491923045,0.9880863358349311
69.4,0.9851528246424905,0.9901073317362623,0.9877688049432346
69.5,0.9850236795800439,0.9900210639692426,0.98766227172033
69.6,0.9847003198321199,0.9898050458580953,0.9873955177435255
69.7,0.9842465629469659,0.9895018767756959,0.987021167124621
69.8,0.9839864617986873,0.9893280739771928,0.9868065692007776
69.9,0.9839864617986873,0.9893280739771928,0.9868065692007776
70.0,0.983855452405499,0.9892405260486257,0.986698475351566
70.1,0.9837239762320015,0.9891526622602625,0.9865899938036111
70.2,0.9833283909766186,0.988888274110272,0.9862635792295665
70.3,0.9825977514413019,0.9883998596928201,0.9856606356014559
70.4,0.9821967662943613,0.9881317592992527,0.9853296979675948
70.5,0.9819275922189047,0.9879517677640223,0.985107532084831
70.6,0.9813190229770381,0.9875447681896722,0.9846052027377076
70.7,0.9807074953250181,0.987135704812217,0.9841003758056565
70.8,0.9803668555586397,0.9869078067965192,0.9838191474320997
70.9,0.9798204618557916,0.9865421978799779,0.9833680147312909
71.0,0.9795446832535608,0.9863576399288719,0.9831402998103218
71.1,0.9792680026950994,0.9861724608540239,0.9829118287075106
71.2,0.9789901801364866,0.9859864997957459,0.9826824030741007
71.3,0.978015314122447,0.9853338313149631,0.9818772682076443
71.4,0.9772428377017993,0.9848165068226221,0.981239184421186
71.5,0.9772428377017993,0.9848165068226221,0.981239184421186
71.6,0.9766744349139675,0.9844357620739221,0.98076961317603
71.7,0.9755323563203071,0.9836705157005009,0.9798259680077481
71.8,0.9753888424612704,0.9835743334209748,0.979707375490992
71.9,0.9749568229050111,0.9832847673961078,0.9793503579396526
72.0,0.9743042088239722,0.9828472637664111,0.9788109896238509
72.1,0.9743042088239722,0.9828472637664111,0.9788109896238509
72.2,0.9738636560523397,0.9825518675965159,0.9784468481727503
72.3,0.9731259648631827,0.9820571360144656,0.9778370398356803
72.4,0.9724557036593551,0.9816075171935004,0.9772829010608581
72.5,0.9723802656637395,0.9815569060241776,0.9772205284229005
72.6,0.9716221199666849,0.9810481947648805,0.976593640857318
72.7,0.9707018389621378,0.9804305127724022,0.9758325720131028
72.8,0.9707018389621378,0.9804305127724022,0.9758325720131028
72.9,0.9696957001524724,0.9797549792394252,0.9750003527037115
73.0,0.9693829391079206,0.9795449398781734,0.9747416238356245
73.1,0.9690667562271418,0.9793325794292287,0.9744800492400336
73.2,0.9687486346340362,0.9791188934150289,0.9742168554990224
73.3,0.9679488785705003,0.9785815838886035,0.9735551200805411
73.4,0.9673854280559087,0.9782029449002927,0.9730888507711276
73.5,0.9666535228959697,0.9777109938644172,0.9724831091569455
73.6,0.9655093430708386,0.9769416814960385,0.9715359965607235
73.7,0.9645162175141844,0.9762736856147468,0.9707137601620153
73.8,0.964181923369672,0.9760487808814055,0.9704369549405064
73.9,0.9633427883871355,0.9754841166248095,0.9697420519272952
74.0,0.9630025275682775,0.9752551039319647,0.9694602451504312
74.1,0.9614575795172594,0.9742149344241019,0.968180484460981
74.2,0.9607645012874035,0.9737481224837893,0.9676062533412835
