x,multi-finetuned,multi-frozen,baseline,linear,reg-finetuned
0.312,1.7486694231944222e-15,0.02404241967353325,0.07035687693096637,7.828931096014336e-18,1.5234818292310705e-05
0.314,2.7200758482960184e-15,0.024085556135326324,0.07099733875483051,1.1987764516715725e-17,1.7685106573569835e-05
0.316,4.2176345454099535e-15,0.024112402804528768,0.07162670387165816,1.830947205392089e-17,2.050169437482692e-05
0.318,6.5188578424142e-15,0.02412348053555814,0.07224534627112558,2.789429102600093e-17,2.373471361009622e-05
0.32,1.0043583818351053e-14,0.0241193887744024,0.07285367308237889,4.238934659196534e-17,2.7440429602847557e-05
0.322,1.5424835438591763e-14,0.02410080474178671,0.07345212244422743,6.42539760193025e-17,3.168188381230918e-05
0.324,2.3613861068354847e-14,0.02406848229769372,0.07404116123441985,9.715053199433121e-17,3.6529588921082604e-05
0.326,3.603529662479906e-14,0.02402325049440147,0.07462128266937677,1.4651842873102494e-16,4.206227855301002e-05
0.328,5.481555707683911e-14,0.023966011827131904,0.07519300378661964,2.2041503586078815e-16,4.836771371143847e-05
0.33,8.311782995356689e-14,0.02389774019324967,0.07575686282293881,3.3074407911857443e-16,5.554354780010946e-05
0.332,1.2563168750976805e-13,0.023819478572704663,0.0763134165020838,4.950451822068528e-16,6.369825180745709e-05
0.334,1.892861438331959e-13,0.023732336444057863,0.0768632372464211,7.390936978247632e-16,7.295210089582109e-05
0.336,2.842844385533773e-13,0.023637486951952773,0.07740691032759771,1.1006672971023493e-15,8.343822323582137e-05
0.338,4.2560035781288605e-13,0.023536163843285003,0.07794503097175165,1.6349878596271309e-15,9.530371145899445e-05
0.34,6.351342230709318e-13,0.023429658190567547,0.07847820143523451,2.4225620487580147e-15,0.00010871079656523591
0.342,9.448082523196474e-13,0.02331931492208119,0.07900702806713848,3.580446569290574e-15,0.00012383808351251226
0.34400000000000003,1.4009946424793093e-12,0.023206529179328715,0.07953211837516158,5.278389063928544e-15,0.00014088184703215054
0.34600000000000003,2.070827407849835e-12,0.02309274252307316,0.08005407811148364,7.761890579615972e-15,0.0001600573854519369
0.34800000000000003,3.0511669211295016e-12,0.022979439009828746,0.08057350839537258,1.1385066026832993e-14,0.00018160042947015242
0.35000000000000003,4.481286018104847e-12,0.022868141161085074,0.08109100288918407,1.6657334779324207e-14,0.00020576860190634527
0.352,6.560757614293402e-12,0.02276040584777929,0.08160714504426361,2.4309576992942405e-14,0.00023284292345999037
0.354,9.574584930326449e-12,0.02265782011258739,0.08212250543300739,3.5387609005293114e-14,0.000263129358438165
0.356,1.3928378234021735e-11,0.022561996952485362,0.08263763918298182,5.138388930577592e-14,0.0002969603932712481
0.358,2.0197414622941575e-11,0.022474571083737967,0.08315308352855233,7.442257049270306e-14,0.0003346966394261475
